time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
125,0.011391923,0.20813884,0.10727307,0.17306998,0.4841307,0.17437845,0.19071347,0.10463539,0.398385,0.4668923,0.6399622,0.4654385,0.11151,0.48063117,0.24297923,0.07353346,0.3161596,0.2464373,0.059763458,0.94664073,0.0120357685,0.07625423,0.6142811,0.79288614,,,,
126,0.0014434614,0.20633191,0.41650614,0.23086038,0.2659396,0.20051654,0.45634153,0.032192305,0.01095577,0.25673884,0.190485,0.7645776,0.05586923,0.22491,0.5622958,0.025328077,0.0032399995,0.012648461,0.01818346,0.68022346,0.4671,0.15949729,0.058579616,0.0077261534,,,,
127,0.38402307,0.30524537,0.28932574,0.05531884,0.30413422,0.35466576,0.1686773,0.0012461537,0.1866323,0.4371092,0.036709614,0.6013731,0.05273307,0.26502576,0.089318074,0.64124995,0.86972183,0.048413076,0.009771924,0.05558884,0.46741152,0.11368038,0.031808075,1.3472584,,,,
128,0.2672377,0.64975506,0.39320308,1.7005118,0.11748115,0.5169046,0.52316654,0.59570307,0.28421652,0.38931924,0.11031576,0.17006885,0.5352542,0.36694038,0.8153999,0.5704372,0.48573002,0.23343578,1.1243838,0.6480311,0.4972154,0.17672537,0.53536844,0.9778985,,,,
129,0.2389292,0.9808269,1.6525662,1.4610114,0.2917869,1.4608452,0.9344076,0.5450262,1.0653161,0.991627,0.27064383,0.61313885,2.0240653,1.3159487,0.53852534,1.3195833,0.55502653,0.7757931,0.38886228,0.48743308,1.0843614,1.6393465,1.0948915,0.5437904,,,,
130,1.9030741,2.4220972,1.2691247,0.7748896,2.126738,1.3361884,1.0290116,1.3931376,1.7575338,2.1744552,1.0895953,2.0578153,2.1216288,1.0374438,2.3120308,3.4675996,2.9819734,1.7188615,1.0879027,2.0479605,2.079436,0.15705691,0.75688267,1.6802412,3.9649289,0.7736019,1.02114,2.9056258
131,2.4871984,2.044575,2.6570907,3.0836596,1.2918566,2.4003518,2.1303728,2.9831467,2.6699054,4.0407157,3.5705109,2.4605722,3.680827,1.9403965,3.9808385,2.6224267,1.5560931,4.2864575,3.8317983,0.92183185,3.834031,2.4812064,3.1524265,2.5435348,,,,
132,4.1060247,3.9353328,4.314932,3.6292672,1.8415141,2.6670184,8.357695,6.9041386,3.741192,5.1846128,5.6351905,2.7596908,4.0441637,4.8687854,4.042564,3.623483,5.1506033,5.1571555,7.2319183,4.6947494,3.9291124,5.7169695,7.097811,4.1590385,,,,
133,3.8478422,6.6259036,6.6391854,7.945882,5.38812,8.362097,8.002104,5.6262183,6.24887,7.194015,7.306615,6.7449117,5.788478,6.326889,6.974204,5.710251,6.0247173,6.818186,6.478411,5.409263,7.0148597,6.7661166,7.199601,7.692944,,,,
134,6.8394947,6.519659,5.089884,5.938878,5.995537,7.569221,5.3100896,6.8855085,6.5496497,6.429157,6.8793716,5.539372,5.8755527,6.7670307,5.817243,7.0724,5.8662066,6.3100247,6.6331835,8.066333,6.2261686,8.356146,5.208092,6.7013173,,,,
135,3.34449,1.3052423,2.9872591,2.4652972,4.3256283,1.287744,3.5747583,1.2345748,2.2073433,3.8625057,2.2245715,3.1112618,3.9056017,1.4828192,2.4216402,2.963312,2.5560586,4.362338,3.5717154,2.9758465,3.8159616,2.5944197,3.181597,1.332398,,,,
136,1.9062933,1.9844481,0.8808022,0.524828,0.8145692,1.1601796,0.6174381,1.0131958,0.8882688,0.43107575,0.74581265,0.3802223,0.4131727,1.1060653,1.0605704,0.6376153,0.909443,1.1922368,1.0456789,0.6009369,0.39528,1.1398569,0.5504054,0.3934627,,,,
137,1.4229624,0.8865035,0.7289065,0.7010965,0.16645497,0.9013845,0.06927577,0.20740153,0.14014037,0.04202654,1.2886995,0.6864646,0.87209994,0.38729423,0.8079646,0.28827688,0.4488023,0.7942673,0.56906646,0.14109577,0.9756034,0.36081344,1.0081073,0.5135919,,,,
138,0.14447078,0.76427656,0.8510088,0.22948962,0.18661155,0.077895,1.295512,0.12992191,0.06539193,0.09727269,0.0071653845,0.007757307,0.04420731,0.20815961,0.4897073,0.017539615,0.5149523,0.4721781,0.26249194,0.4239,0.25389344,0.049513843,0.0036865377,0.13031653,,,,
139,1.0887023,0.29525536,0.019741151,0.11784462,1.2295799,0.20466,0.21514846,0.0037488462,0.09858115,0.5599696,0.9242308,0.31431115,0.5499588,0.27333343,0.2385554,0.1640977,0.3776677,0.48028845,0.36928728,0.38261074,0.26760116,0.061186153,0.039991155,0.39983886,,,,
140,0.6379477,0.28932574,0.94195724,0.2774873,0.4802573,0.24028961,0.20333074,0.48663345,0.38379458,1.4346242,0.48748496,0.76283306,0.7582742,1.3839576,1.029375,0.2515673,0.30614883,1.2265061,0.33636805,1.0390949,0.13806345,1.1173015,0.4811608,0.45587423,,,,
141,1.4441885,1.4101995,1.4767028,1.9191285,1.394415,1.6266253,2.0266097,1.1254119,1.2458838,1.6540096,1.2417507,0.68597645,0.25510848,1.6468545,1.2889177,0.5726907,1.0354811,0.8320465,0.7769873,1.4422152,0.45357925,0.6840346,2.204529,0.6156623,,,,
142,1.0007031,2.3140764,0.97613305,0.72836655,4.4038973,1.545127,2.8522387,0.7731969,1.4512395,1.6774997,1.1465964,1.7253726,2.2629945,0.7863853,1.4838576,1.3297395,1.350353,2.0834134,1.6872509,1.8854411,1.3541125,1.5255831,1.9089622,1.0572162,1.5815041,1.315606,2.4928167,0.6093796
143,2.642625,2.8241272,1.5369022,3.8826308,4.9296184,4.3087115,2.784136,1.8766453,1.8088441,3.1585743,4.3886633,1.7344488,3.1031518,2.7896085,3.2048583,2.6642559,1.343032,3.4892514,3.1361957,2.261873,1.9346434,2.1062076,3.0173328,3.3196704,,,,
144,3.7458658,7.281547,5.71266,3.932654,5.7098975,4.9961424,3.6122677,5.577224,5.872521,5.1920476,3.6703486,4.8917665,3.1167033,4.977076,4.281286,4.6016207,4.0198016,5.8174405,4.6738973,3.844644,4.9086204,4.308878,5.0026116,4.9977417,,,,
145,5.8452196,4.9724026,6.076599,7.015005,8.357809,6.7726693,5.7320685,4.8679957,7.7535167,5.4897747,7.520351,6.072694,5.579155,6.2407484,6.82103,6.8576155,6.9382625,7.4740987,8.351546,6.5876775,5.768685,5.8913794,5.8820224,7.527226,,,,
146,5.421662,6.0612507,7.6837225,6.5270634,7.170598,5.851502,6.9257283,4.3422647,6.2597013,6.6723123,7.021516,5.636925,6.7184405,6.3738275,6.004021,5.701714,5.8261013,5.9119196,6.693902,6.3077087,6.6587195,7.6773458,8.169888,5.624432,,,,
147,3.6627162,3.390099,4.6819143,3.2898562,3.0101054,3.5157735,5.058709,2.4088569,6.217601,4.107593,4.6329193,3.7584207,6.1013455,2.817741,3.5451725,2.265767,7.189799,6.3861437,4.6633987,4.7061834,5.12407,3.8090563,3.5878015,1.9616851,,,,
